N°,Imagen,Marca,Modelo,Año Modelo,Motor,Transmisión,Concesionario,Campaña,Garantía,Condiciones,
12,autoespar_toyota_corolla_cross_feliz_dia_madre.jpg,Toyota,Corolla Cross,No especificado,No especificado,No especificado,Autoespar,Feliz Día de la Madre,No especificado,No especificado,No especificado
13,autoespar_toyota_yaris_cross_outlet_2025.jpg,Toyota,Yaris Cross,2025,1.5 FULL D- LUX,Automático,Autoespar,Outlet 0KM - Últimas Unidades 2025,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Campaña disponible hasta agotar stock. - Autoespar S.A.,No especificado
14,autoespar_toyota_land_cruiser_prado_outlet.jpg,Toyota,Land Cruiser Prado,2026,2.4T,Automático,Autoespar,Outlet 0KM - Últimas Unidades 2025,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Campaña disponible hasta agotar stock. - Autoespar S.A.,No especificado
15,autoespar_toyota_ya_cyber_web.jpg,Toyota,"Raize, Corolla Cross, Yaris Cross Híbrido",No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! CYBER WEB,No especificado,Sujeto a términos y condiciones. Imagen referencial.,"Bono de descuento de hasta $4,350 en Yaris Cross Híbrido, transmisión en vivo por TikTok este jueves 14 de mayo de 7:00 a 8:00 p.m."
16,autoespar_toyota_oferton_repuestos_yaris.jpg,Toyota,Yaris,2015 - 2022,No especificado,No especificado,Autoespar,LLEGÓ EL OFERTÓN DE REPUESTOS - Kit de Lubricación,"Hasta 10 años o 200,000 km",Precios incluyen IGV. Imagen Referencial. Precio varía según modelo. Campaña válida solo para la compra en mostrador y/o hasta agotar stock TODO MAYO.,"Kit incluye: Galón de aceite 10W30, Filtro de Aceite, Filtro de Aire de Cabina, Emp. Tapón de cárter por S/ 242.61. Cotiza al 971 210 520. Aceptamos todos los medios de pago."
17,autoespar_toyota_nueva_rav4_maf.jpg,Toyota,Nueva RAV4,No especificado,No especificado,No especificado,Autoespar,FINÁNCIALA HOY CON MAF - Cuota inicial desde 0%,No especificado,Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,MAF TOTAL (Crédito vehicular todo incluido): Financiamiento + Seguro Toyota + Mantenimiento
18,autoespar_toyota_4runner_siguiente_nivel.jpg,Toyota,4Runner,No especificado,No especificado,No especificado,Autoespar,EL SIGUIENTE NIVEL ES TOYOTA,"Hasta 10 años o 200,000 km",Imagen referencial. Sujeto a términos y condiciones. Cuota sujeto a financiamiento MAF. Campaña disponible del 1 al 31 de Mayo del 2026.,"Tasa preferencial 6.99% (TCEA referencial: 9.67%), Financiamiento MAF, Se acepta auto en parte de pago, Toyota Life (El crédito a tu medida)"
19,autoespar_toyota_sorteo_tv_repuestos.jpg,Toyota,No especificado,No especificado,No especificado,No especificado,Autoespar,GÁNATE UN TV DE 65 PULGADAS Y VIVE EL MUNDIAL EN GRANDE,No especificado,Imagen Referencial. Sorteo válido hasta el 16 de Junio. Aplica solo para compra de repuestos por mostrador y con facturación igual o superior a s/300. Serán 6 ganadores. No incluye mano de obra. Válido para todas las sedes de Autoespar.,Por compras desde S/ 300 en repuestos originales participas automáticamente del sorteo. Cotiza y Participa al 971 210 520
20,autoespar_toyota_ya_cyber_web_21_mayo.jpg,Toyota,"Agya, Raize, Yaris Cross Híbrido",No especificado,No especificado,No especificado,Autoespar,TOYOTA ¡YA! CYBER WEB,No especificado,Sujeto a términos y condiciones. Imagen referencial.,"Bono de descuento de hasta $4,350 en Yaris Cross Híbrido, transmisión en vivo por TikTok este jueves 21 de mayo de 7:00 a 8:00 p.m."
21,autoespar_toyota_sorteo_dia_padre_combo_parrillero.jpg,Toyota,Hilux,No especificado,No especificado,No especificado,Autoespar,Sorteo por el Día del Padre - Ven al taller y participa por tu Combo Parrillero,No especificado,Imagen Referencial. Campaña válida desde el 18 de Mayo hasta 12 de Junio del 2026. Los premios serán sorteados en un live de Tiktok. Serán 5 ganadores. *Conoce los T&C en la web de Autoespar. Válido para todas las sedes autorizadas de Autoespar.,Participa realizando servicios de Mantenimiento Preventivo o Correctivo de S/500 a más. Agenda tu servicio al 969 685 329.
22,autoespar_toyota_modo_futbol_rav4.jpg,Toyota,RAV4 Híbrido Eléctrico,No especificado,No especificado,No especificado,Autoespar,ENTRAMOS EN MODO FÚTBOL,No especificado,*Imagen Referencial. Campaña válida desde el 15 de Mayo hasta 30 de Junio del 2026 y/o hasta agotar stock. La entrega de las pelotas de futbol es para clientes que hayan facturado servicios de mantenimientos de S/500 a más. Válido para todas las sedes autorizadas de Autoespar.,Llévate de regalo una Pelota de Futbol por realizar tus mantenimientos de S/500 o más. Agenda tu servicio al 969 685 329.
23,autoespar_toyota_oferton_repuestos_yaris_v2.jpg,Toyota,Yaris,2015 - 2022,No especificado,No especificado,Autoespar,LLEGÓ EL OFERTÓN DE REPUESTOS - Kit de Lubricación,"Hasta 10 años o 200,000 km",Precios incluyen IGV. Imagen Referencial. Precio varía según modelo. Campaña válida solo para la compra en mostrador y/o hasta agotar stock TODO MAYO.,"Kit incluye: Galón de aceite 10W30, Filtro de Aceite, Filtro de Aire de Cabina, Emp. Tapón de cárter por S/ 242.61. Cotiza al 971 210 520. Aceptamos todos los medios de pago."
